year,sex,hindfoot_length,weight,genus,species,taxa,plot_type,weight_oz
2001,M,27.0,33.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.164021164021164
1998,F,21.0,17.0,Chaetodipus,penicillatus,Rodent,Control,0.599647266313933
2002,M,33.0,48.0,Dipodomys,ordii,Rodent,Control,1.693121693121693
1992,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Spectab exclosure,0.3527336860670194
1996,F,20.0,24.0,Peromyscus,eremicus,Rodent,Control,0.8465608465608465
1987,M,37.0,50.0,Dipodomys,ordii,Rodent,Control,1.763668430335097
1978,M,37.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
2000,F,21.0,14.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.49382716049382713
2001,M,27.0,36.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.2698412698412698
2001,M,26.0,42.0,Chaetodipus,baileyi,Rodent,Control,1.4814814814814814
1981,M,51.0,142.0,Dipodomys,spectabilis,Rodent,Control,5.008818342151676
1983,not reported,,,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,
1988,M,36.0,46.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.6225749559082892
1982,M,37.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1990,F,22.0,20.0,Peromyscus,eremicus,Rodent,Control,0.7054673721340388
1989,F,22.0,23.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure,0.8112874779541446
1992,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control,0.3527336860670194
1986,F,35.0,32.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.128747795414462
1996,M,23.0,15.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure,0.5291005291005291
1999,M,26.0,49.0,Sigmodon,hispidus,Rodent,Control,1.728395061728395
1990,M,21.0,23.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure,0.8112874779541446
1990,M,22.0,20.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.7054673721340388
1990,F,36.0,47.0,Dipodomys,ordii,Rodent,Control,1.657848324514991
1982,not reported,,,Sylvilagus,audubonii,Rabbit,Rodent Exclosure,
1989,M,37.0,38.0,Dipodomys,merriami,Rodent,Control,1.3403880070546736
1979,M,35.0,53.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.8694885361552027
1997,M,37.0,49.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.728395061728395
1980,M,36.0,29.0,Dipodomys,merriami,Rodent,Control,1.0229276895943562
1985,M,37.0,45.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.5873015873015872
1978,F,52.0,122.0,Dipodomys,spectabilis,Rodent,Control,4.303350970017637
1979,F,50.0,125.0,Dipodomys,spectabilis,Rodent,Control,4.409171075837742
1997,M,21.0,28.0,Onychomys,torridus,Rodent,Spectab exclosure,0.9876543209876543
1991,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Control,0.31746031746031744
1984,F,,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8465608465608465
1988,F,16.0,8.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.2821869488536155
1991,F,18.0,22.0,Onychomys,torridus,Rodent,Control,0.7760141093474426
1997,M,34.0,41.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.4462081128747795
1980,M,36.0,53.0,Dipodomys,merriami,Rodent,Control,1.8694885361552027
1986,M,14.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.31746031746031744
1992,F,30.0,82.0,Sigmodon,ochrognathus,Rodent,Control,2.892416225749559
2002,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control,0.7054673721340388
1984,F,35.0,49.0,Dipodomys,ordii,Rodent,Control,1.728395061728395
1983,M,33.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1996,F,36.0,53.0,Dipodomys,merriami,Rodent,Control,1.8694885361552027
2001,M,22.0,,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,
1995,M,36.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1979,M,50.0,120.0,Dipodomys,spectabilis,Rodent,Control,4.232804232804233
1997,M,36.0,54.0,Dipodomys,ordii,Rodent,Control,1.9047619047619047
1995,F,35.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1999,M,21.0,14.0,Chaetodipus,penicillatus,Rodent,Control,0.49382716049382713
1989,F,37.0,48.0,Dipodomys,ordii,Rodent,Control,1.693121693121693
1994,F,22.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.7054673721340388
1980,F,,70.0,Dipodomys,spectabilis,Rodent,Control,2.4691358024691357
1997,F,35.0,45.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.5873015873015872
2002,not reported,,,Sparrow,sp.,Bird,Control,
1984,F,34.0,34.0,Dipodomys,merriami,Rodent,Control,1.199294532627866
1983,not reported,,,Spermophilus,spilosoma,Rodent,Control,
1987,M,35.0,31.0,Dipodomys,merriami,Rodent,Control,1.09347442680776
1985,M,38.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.657848324514991
2001,F,25.0,,Chaetodipus,baileyi,Rodent,Control,
2002,F,20.0,31.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,1.09347442680776
1984,F,35.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1998,F,20.0,,Onychomys,torridus,Rodent,Short-term Krat Exclosure,
2000,M,26.0,26.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.9171075837742504
1997,M,20.0,15.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.5291005291005291
1981,F,34.0,47.0,Dipodomys,ordii,Rodent,Control,1.657848324514991
1982,not reported,,,Spermophilus,spilosoma,Rodent,Short-term Krat Exclosure,
2000,F,25.0,30.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.0582010582010581
1991,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
1989,M,37.0,55.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.9400352733686066
1982,M,17.0,12.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.42328042328042326
1991,F,37.0,48.0,Dipodomys,merriami,Rodent,Control,1.693121693121693
1997,F,37.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1984,F,35.0,45.0,Dipodomys,merriami,Rodent,Control,1.5873015873015872
1998,M,35.0,50.0,Dipodomys,ordii,Rodent,Control,1.763668430335097
1980,F,32.0,114.0,Neotoma,albigula,Rodent,Control,4.021164021164021
1997,F,21.0,31.0,Onychomys,leucogaster,Rodent,Spectab exclosure,1.09347442680776
2000,F,21.0,16.0,Chaetodipus,penicillatus,Rodent,Control,0.564373897707231
2000,M,26.0,25.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.8818342151675485
2000,F,35.0,38.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.3403880070546736
1989,F,36.0,48.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.693121693121693
1984,F,51.0,123.0,Dipodomys,spectabilis,Rodent,Control,4.338624338624339
1977,not reported,,,Neotoma,albigula,Rodent,Control,
1984,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Control,0.3880070546737213
1982,M,34.0,42.0,Dipodomys,ordii,Rodent,Rodent Exclosure,1.4814814814814814
1991,M,35.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1982,F,50.0,90.0,Dipodomys,spectabilis,Rodent,Control,3.1746031746031744
2000,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control,0.564373897707231
1982,F,,18.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.6349206349206349
1981,F,,38.0,Onychomys,leucogaster,Rodent,Control,1.3403880070546736
1983,F,35.0,49.0,Dipodomys,ordii,Rodent,Control,1.728395061728395
1993,F,33.0,42.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.4814814814814814
1998,F,35.0,45.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.5873015873015872
1980,M,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
2002,F,21.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.5291005291005291
1996,M,33.0,37.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.3051146384479717
1995,F,35.0,28.0,Dipodomys,merriami,Rodent,Control,0.9876543209876543
1994,M,36.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1982,M,52.0,117.0,Dipodomys,spectabilis,Rodent,Control,4.1269841269841265
1983,M,37.0,38.0,Dipodomys,merriami,Rodent,Control,1.3403880070546736
1990,M,22.0,23.0,Peromyscus,eremicus,Rodent,Control,0.8112874779541446
1982,F,,120.0,Neotoma,albigula,Rodent,Short-term Krat Exclosure,4.232804232804233
1996,F,21.0,11.0,Chaetodipus,penicillatus,Rodent,Control,0.3880070546737213
1982,F,36.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.6225749559082892
1981,F,21.0,26.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.9171075837742504
1981,F,33.0,21.0,Dipodomys,ordii,Rodent,Control,0.7407407407407407
1995,M,38.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1986,M,35.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
2002,F,27.0,26.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.9171075837742504
1978,M,38.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1983,M,36.0,,Dipodomys,ordii,Rodent,Control,
2001,F,20.0,22.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure,0.7760141093474426
1997,M,36.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
2001,M,27.0,32.0,Chaetodipus,baileyi,Rodent,Control,1.128747795414462
1990,F,32.0,170.0,Neotoma,albigula,Rodent,Control,5.99647266313933
2000,M,21.0,20.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.7054673721340388
1979,F,36.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1996,F,21.0,19.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.6701940035273368
1992,F,15.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.42328042328042326
2000,M,24.0,24.0,Chaetodipus,baileyi,Rodent,Control,0.8465608465608465
1980,F,,39.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.3756613756613756
1999,F,25.0,33.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.164021164021164
1992,M,21.0,18.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.6349206349206349
1980,F,36.0,66.0,Dipodomys,ordii,Rodent,Spectab exclosure,2.328042328042328
1990,M,36.0,48.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.693121693121693
1982,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.3527336860670194
1997,M,36.0,49.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.728395061728395
1997,M,37.0,45.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.5873015873015872
2002,F,33.0,53.0,Dipodomys,ordii,Rodent,Control,1.8694885361552027
1997,M,21.0,21.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure,0.7407407407407407
1997,F,36.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
1991,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
2002,M,32.0,224.0,Neotoma,albigula,Rodent,Rodent Exclosure,7.901234567901234
1984,F,36.0,36.0,Dipodomys,merriami,Rodent,Control,1.2698412698412698
1990,M,21.0,14.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.49382716049382713
1994,F,35.0,36.0,Dipodomys,merriami,Rodent,Control,1.2698412698412698
1982,M,50.0,76.0,Dipodomys,spectabilis,Rodent,Control,2.6807760141093473
1982,M,16.0,6.0,Perognathus,flavus,Rodent,Spectab exclosure,0.21164021164021163
1989,F,37.0,52.0,Dipodomys,ordii,Rodent,Control,1.8342151675485008
1993,M,37.0,48.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.693121693121693
1997,M,36.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
2001,M,25.0,43.0,Sigmodon,hispidus,Rodent,Short-term Krat Exclosure,1.5167548500881833
1992,not reported,,,Campylorhynchus,brunneicapillus,Bird,Short-term Krat Exclosure,
2002,M,20.0,23.0,Onychomys,torridus,Rodent,Control,0.8112874779541446
2001,M,23.0,18.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.6349206349206349
1992,F,39.0,52.0,Dipodomys,merriami,Rodent,Control,1.8342151675485008
2002,M,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1997,M,35.0,45.0,Dipodomys,merriami,Rodent,Control,1.5873015873015872
1987,F,15.0,11.0,Reithrodontomys,megalotis,Rodent,Control,0.3880070546737213
1996,F,37.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1998,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.3527336860670194
1990,F,37.0,38.0,Dipodomys,merriami,Rodent,Control,1.3403880070546736
1988,M,36.0,45.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.5873015873015872
1978,F,46.0,90.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,3.1746031746031744
1983,M,35.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
2000,F,22.0,20.0,Chaetodipus,penicillatus,Rodent,Control,0.7054673721340388
1997,M,36.0,50.0,Dipodomys,ordii,Rodent,Control,1.763668430335097
2000,F,25.0,29.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.0229276895943562
1991,M,21.0,23.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure,0.8112874779541446
1996,M,37.0,48.0,Dipodomys,merriami,Rodent,Control,1.693121693121693
1978,F,16.0,6.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.21164021164021163
1990,F,37.0,40.0,Dipodomys,merriami,Rodent,Control,1.4109347442680775
1982,F,35.0,41.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4462081128747795
1997,F,,25.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.8818342151675485
1996,F,26.0,42.0,Chaetodipus,baileyi,Rodent,Spectab exclosure,1.4814814814814814
1989,F,,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1985,F,37.0,41.0,Dipodomys,ordii,Rodent,Control,1.4462081128747795
1991,M,35.0,30.0,Dipodomys,ordii,Rodent,Rodent Exclosure,1.0582010582010581
2000,M,26.0,41.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.4462081128747795
2002,M,37.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
2001,F,33.0,158.0,Neotoma,albigula,Rodent,Control,5.573192239858907
1995,M,39.0,52.0,Dipodomys,merriami,Rodent,Control,1.8342151675485008
1998,M,34.0,48.0,Dipodomys,merriami,Rodent,Control,1.693121693121693
1999,F,21.0,15.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.5291005291005291
1997,M,20.0,23.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.8112874779541446
1990,M,19.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8465608465608465
1999,F,37.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
2001,M,27.0,39.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.3756613756613756
1986,M,36.0,50.0,Dipodomys,ordii,Rodent,Control,1.763668430335097
1997,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.7054673721340388
1997,F,22.0,11.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure,0.3880070546737213
1989,F,26.0,47.0,Sigmodon,fulviventer,Rodent,Control,1.657848324514991
1994,F,38.0,33.0,Dipodomys,merriami,Rodent,Control,1.164021164021164
2002,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.657848324514991
1991,F,36.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
1983,M,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
2000,M,35.0,35.0,Dipodomys,merriami,Rodent,Control,1.2345679012345678
1983,F,22.0,19.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.6701940035273368
2001,F,35.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1987,M,20.0,28.0,Onychomys,leucogaster,Rodent,Rodent Exclosure,0.9876543209876543
2002,F,36.0,,Dipodomys,merriami,Rodent,Control,
1983,not reported,,,Spermophilus,spilosoma,Rodent,Rodent Exclosure,
1991,F,16.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.42328042328042326
1981,F,50.0,129.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure,4.55026455026455
1986,F,32.0,174.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure,6.137566137566138
1977,M,15.0,8.0,Perognathus,flavus,Rodent,Control,0.2821869488536155
1996,M,37.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
2002,F,35.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
2001,not reported,,,Spermophilus,spilosoma,Rodent,Long-term Krat Exclosure,
1989,M,21.0,20.0,Onychomys,torridus,Rodent,Spectab exclosure,0.7054673721340388
1997,M,27.0,31.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.09347442680776
2001,F,27.0,30.0,Chaetodipus,baileyi,Rodent,Control,1.0582010582010581
1977,M,49.0,110.0,Dipodomys,spectabilis,Rodent,Control,3.880070546737213
1991,F,16.0,26.0,Chaetodipus,penicillatus,Rodent,Control,0.9171075837742504
1985,M,37.0,46.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure,1.6225749559082892
1999,not reported,,,Chaetodipus,penicillatus,Rodent,Control,
1991,M,21.0,24.0,Onychomys,torridus,Rodent,Spectab exclosure,0.8465608465608465
2002,F,27.0,36.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.2698412698412698
2001,F,26.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.0229276895943562
1990,M,37.0,36.0,Dipodomys,merriami,Rodent,Control,1.2698412698412698
1998,M,37.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
2002,F,25.0,26.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.9171075837742504
1989,M,29.0,82.0,Sigmodon,hispidus,Rodent,Control,2.892416225749559
1991,F,35.0,47.0,Dipodomys,ordii,Rodent,Spectab exclosure,1.657848324514991
1995,M,21.0,34.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure,1.199294532627866
2002,F,26.0,34.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.199294532627866
1998,F,19.0,25.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.8818342151675485
2002,M,37.0,49.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.728395061728395
1992,F,16.0,9.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.31746031746031744
2002,F,27.0,31.0,Chaetodipus,baileyi,Rodent,Control,1.09347442680776
1982,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Control,0.3880070546737213
1987,M,35.0,29.0,Dipodomys,merriami,Rodent,Control,1.0229276895943562
1981,F,50.0,130.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,4.585537918871252
1997,M,38.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1990,F,14.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.24691358024691357
1981,M,38.0,47.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.657848324514991
1994,F,22.0,22.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure,0.7760141093474426
1985,M,33.0,41.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure,1.4462081128747795
1997,M,27.0,34.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.199294532627866
1996,F,17.0,8.0,Perognathus,flavus,Rodent,Control,0.2821869488536155
2001,F,25.0,30.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.0582010582010581
1986,F,34.0,39.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.3756613756613756
1985,F,33.0,36.0,Dipodomys,merriami,Rodent,Control,1.2698412698412698
1981,F,20.0,23.0,Peromyscus,eremicus,Rodent,Rodent Exclosure,0.8112874779541446
1991,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Control,0.3527336860670194
1996,M,15.0,5.0,Perognathus,flavus,Rodent,Control,0.1763668430335097
1990,M,36.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1998,M,22.0,19.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.6701940035273368
1980,F,,54.0,Dipodomys,merriami,Rodent,Control,1.9047619047619047
2000,M,23.0,17.0,Chaetodipus,penicillatus,Rodent,Control,0.599647266313933
1985,M,36.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4814814814814814
1990,M,18.0,12.0,Reithrodontomys,fulvescens,Rodent,Rodent Exclosure,0.42328042328042326
1999,M,26.0,28.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.9876543209876543
1977,F,37.0,50.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure,1.763668430335097
1984,F,36.0,40.0,Dipodomys,merriami,Rodent,Control,1.4109347442680775
1996,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3527336860670194
1996,not reported,,,Spermophilus,spilosoma,Rodent,Control,
2001,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Control,1.128747795414462
2001,F,20.0,20.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.7054673721340388
1990,not reported,,,Pipilo,chlorurus,Bird,Control,
2002,M,36.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
1982,M,37.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1983,not reported,,,Campylorhynchus,brunneicapillus,Bird,Long-term Krat Exclosure,
1999,M,37.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.657848324514991
1979,F,37.0,49.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.728395061728395
2002,M,21.0,23.0,Onychomys,torridus,Rodent,Control,0.8112874779541446
2001,F,27.0,32.0,Chaetodipus,baileyi,Rodent,Control,1.128747795414462
1982,M,,20.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure,0.7054673721340388
1985,M,37.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure,1.4814814814814814
1981,F,19.0,14.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure,0.49382716049382713
2000,M,36.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.4814814814814814
2000,M,,,Dipodomys,ordii,Rodent,Control,
1988,F,36.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1991,M,20.0,20.0,Onychomys,torridus,Rodent,Rodent Exclosure,0.7054673721340388
1997,M,23.0,27.0,Peromyscus,maniculatus,Rodent,Control,0.9523809523809523
1999,F,25.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.128747795414462
1994,not reported,,,Spermophilus,spilosoma,Rodent,Rodent Exclosure,
1996,M,17.0,9.0,Perognathus,flavus,Rodent,Control,0.31746031746031744
2002,M,27.0,33.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.164021164021164
2000,M,20.0,23.0,Onychomys,torridus,Rodent,Spectab exclosure,0.8112874779541446
2002,M,35.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1998,F,21.0,15.0,Chaetodipus,penicillatus,Rodent,Control,0.5291005291005291
1994,M,36.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1985,F,19.0,28.0,Peromyscus,eremicus,Rodent,Control,0.9876543209876543
1995,M,21.0,33.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure,1.164021164021164
2001,F,35.0,59.0,Dipodomys,merriami,Rodent,Control,2.0811287477954146
1982,not reported,,,Amphispiza,bilineata,Bird,Control,
1990,M,28.0,44.0,Sigmodon,fulviventer,Rodent,Control,1.5520282186948853
1982,M,,6.0,Perognathus,flavus,Rodent,Control,0.21164021164021163
2001,F,26.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.0229276895943562
1999,not reported,35.0,,Ammospermophilus,harrisi,Rodent,Rodent Exclosure,
1997,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
1996,M,22.0,17.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.599647266313933
1989,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.3880070546737213
1997,M,16.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3880070546737213
2000,F,26.0,22.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,0.7760141093474426
2002,F,26.0,30.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.0582010582010581
1990,M,20.0,18.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure,0.6349206349206349
1999,M,24.0,28.0,Chaetodipus,baileyi,Rodent,Control,0.9876543209876543
1992,F,35.0,51.0,Dipodomys,merriami,Rodent,Control,1.7989417989417988
2000,F,24.0,28.0,Chaetodipus,baileyi,Rodent,Control,0.9876543209876543
1986,M,37.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.763668430335097
1997,M,15.0,9.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure,0.31746031746031744
1981,F,34.0,33.0,Dipodomys,ordii,Rodent,Control,1.164021164021164
1980,F,36.0,41.0,Dipodomys,merriami,Rodent,Control,1.4462081128747795
1992,M,36.0,48.0,Dipodomys,merriami,Rodent,Control,1.693121693121693
2000,F,20.0,17.0,Chaetodipus,penicillatus,Rodent,Control,0.599647266313933
1990,M,38.0,54.0,Dipodomys,merriami,Rodent,Control,1.9047619047619047
1985,not reported,,,Sylvilagus,audubonii,Rabbit,Rodent Exclosure,
2002,F,25.0,24.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.8465608465608465
1990,M,20.0,23.0,Onychomys,torridus,Rodent,Control,0.8112874779541446
1991,F,12.0,7.0,Baiomys,taylori,Rodent,Long-term Krat Exclosure,0.24691358024691357
1995,F,27.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.0229276895943562
1983,M,32.0,94.0,Neotoma,albigula,Rodent,Control,3.315696649029982
1996,M,26.0,25.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,0.8818342151675485
1997,M,15.0,10.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure,0.3527336860670194
2000,M,26.0,33.0,Chaetodipus,baileyi,Rodent,Control,1.164021164021164
1996,F,35.0,35.0,Dipodomys,merriami,Rodent,Control,1.2345679012345678
1997,F,22.0,21.0,Sigmodon,ochrognathus,Rodent,Control,0.7407407407407407
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.3527336860670194
1987,not reported,,,Campylorhynchus,brunneicapillus,Bird,Control,
